SOA,s1,s2,x1,y2,target present,RT,response
196,n1,n3,200,200,2,0,3
-430,n2,n1,200,-200,2,607.3,1
590,n2,t1,200,-200,1,1092.2,1
0,n1,t1,-200,200,1,2030.9,1
430,n1,n3,-200,200,2,683.5,1
-900,t1,n3,200,200,1,1838.9,1
280,n3,t1,200,200,1,526.8,2
196,n3,t1,200,-200,1,781.0,1
-100,n2,n1,200,200,2,545.0,1
0,n1,n2,-200,200,2,669.1,1
900,n1,t1,200,200,1,1213.5,2,64.2,1
900,n1,t1,200,200,1,1213.5,2,64.2,1
100,n3,t1,200,-200,1,1102.4,1
-280,t1,n2,200,-200,1,838.4,2
280,n2,t1,200,200,1,902.9,2
-900,n2,n1,-200,-200,2,821.2,1
196,n2,t1,200,-200,1,517.1,2
196,n1,t1,-200,-200,1,1417.7,2,63.2,2
196,n1,t1,-200,-200,1,1417.7,2,63.2,2
-590,n3,n1,-200,200,2,327.1,2
-100,t1,n2,200,-200,1,408.7,2
-900,n2,n1,200,200,2,623.5,1
280,n1,t1,200,-200,1,757.5,1
-430,n2,n1,200,200,2,587.8,1
-900,n3,n2,-200,200,2,490.5,1
-430,t1,n3,-200,200,1,348.3,1
430,n1,t1,-200,-200,1,748.5,2
-900,t1,n2,-200,200,1,432.8,1
196,n1,n2,200,200,2,823.9,1
100,n1,t1,200,200,1,777.4,1
-900,n2,n1,-200,200,2,634.0,1
100,n2,t1,200,-200,1,934.3,1
196,n1,t1,200,-200,1,1420.7,2
-280,n2,n1,200,200,2,594.6,1
280,n2,n3,-200,200,2,538.9,1
0,n2,t1,-200,200,1,977.3,1
-100,t1,n3,-200,200,1,871.7,1
0,n2,n3,-200,-200,2,787.3,1
-280,t1,n1,-200,200,1,452.2,1
-900,n3,n1,200,200,2,673.7,1
100,n2,t1,-200,200,1,889.4,2
-196,n3,n2,200,-200,2,475.3,1
280,n3,t1,-200,200,1,541.7,2
280,n2,n3,200,-200,2,614.0,1
-280,t1,n2,-200,-200,1,640.7,1
196,n2,n3,200,-200,2,722.3,1
900,n1,t1,-200,200,1,621.1,2
196,n3,t1,-200,-200,1,726.4,2
-590,t1,n1,-200,200,1,415.3,2
-900,n3,n1,-200,-200,2,451.0,1
-280,n3,n2,-200,200,2,518.7,1
-100,t1,n2,-200,200,1,452.7,2
590,n1,t1,-200,-200,1,1043.4,1
0,n2,n3,-200,200,2,467.7,1
900,n1,n3,-200,-200,2,1033.5,1
-196,t1,n2,200,200,1,414.9,2
0,n1,n3,-200,200,2,1204.9,2
-196,t1,n1,200,-200,1,580.7,2
-196,n3,n1,200,200,2,494.3,1
-590,n3,n1,200,-200,2,808.9,1
0,n3,t1,-200,200,1,613.3,1
900,n2,n3,-200,200,2,534.8,1
280,n3,t1,-200,-200,1,513.2,2
280,n2,n3,200,200,2,461.6,1
430,n3,t1,200,-200,1,670.8,1
100,n2,n3,200,-200,2,454.7,1
-100,n3,n2,-200,200,2,468.1,1
-590,n3,n2,200,-200,2,529.9,1
0,n1,t1,200,200,1,677.0,2
-900,t1,n2,200,-200,1,649.6,1
900,n1,t1,-200,-200,1,482.0,2
-900,n3,n2,200,-200,2,567.5,1
100,n1,n2,-200,-200,2,574.4,1
-900,n3,n2,-200,-200,2,493.4,1
-280,n3,n2,200,-200,2,858.7,2
-900,n2,n1,200,-200,2,429.1,1
590,n2,n3,-200,-200,2,531.5,2
430,n2,n3,-200,200,2,485.8,1,110.7,2
430,n2,n3,-200,200,2,485.8,1,110.7,2
-280,n3,n1,-200,200,2,935.5,1
590,n1,n2,200,200,2,435.1,1,124.4,1
590,n1,n2,200,200,2,435.1,1,124.4,1
0,n3,t1,200,-200,1,649.9,1
-196,t1,n2,200,-200,1,379.2,2
196,n3,t1,200,200,1,1053.7,2
-900,t1,n1,200,-200,1,1195.8,1,63.0,2
-900,t1,n1,200,-200,1,1195.8,1,63.0,2
-900,t1,n2,-200,-200,1,625.6,2
0,n3,t1,-200,-200,1,479.7,2
280,n1,n3,-200,-200,2,551.4,1
0,n1,n3,200,200,2,504.5,1
430,n2,t1,200,200,1,479.8,2
590,n1,t1,200,-200,1,326.9,2
900,n2,n3,-200,-200,2,314.2,1
100,n1,n2,200,200,2,720.2,1
0,n1,n2,200,-200,2,326.2,1
-196,t1,n2,-200,-200,1,403.0,2
-280,t1,n3,200,200,1,850.9,2
-280,t1,n3,-200,200,1,927.2,2
-196,t1,n3,200,200,1,936.9,2
430,n1,n3,200,200,2,641.1,1
900,n1,n3,200,200,2,837.9,1
